Municipio;Zona;Sessao;Local;Voto;InicioAguardando;TituloDigitado;InicioDigital;FimDigital;Habilitacao;Voto1;Voto2;Voto3;Voto4;Voto5;FimVotacao;SucessoDigital;TentativasDigital;TeclasIndevidas;TempoTotal;TempoVotacao;TempoOcioso;TempoHabilitacao;TempoVoto1;TempoVoto2;TempoVoto3;TempoVoto4;TempoVoto5;ClassTempoTotal;ClassTempoVotacao;ClassTempoOcioso;ClassTempoHabilitacao;ClassTempoVoto1;ClassTempoVoto2;ClassTempoVoto3;ClassTempoVoto4;ClassTempoVoto5;
56332;40;9;1023;1;2022-10-02 08:00:02;2022-10-02 08:01:43;0001-01-01 00:00:00;0001-01-01 00:00:00;2022-10-02 08:01:48;2022-10-02 08:02:08;2022-10-02 08:02:20;2022-10-02 08:02:30;2022-10-02 08:02:38;2022-10-02 08:02:44;2022-10-02 08:02:45;False;0;0;163;57;106;5;20;12;10;8;6;MA;MB;MA;MA;MB;MB;MB;MB;MB;
56332;40;9;1023;2;2022-10-02 08:02:47;2022-10-02 08:04:28;0001-01-01 00:00:00;0001-01-01 00:00:00;2022-10-02 08:04:31;2022-10-02 08:04:49;2022-10-02 08:04:58;2022-10-02 08:05:05;2022-10-02 08:05:12;2022-10-02 08:05:21;2022-10-02 08:05:23;False;0;1;156;52;104;3;18;9;7;7;9;MA;MB;MA;MB;MB;MB;MB;MB;MB;
56332;40;9;1023;3;2022-10-02 08:05:24;2022-10-02 08:06:45;0001-01-01 00:00:00;0001-01-01 00:00:00;2022-10-02 08:06:54;2022-10-02 08:07:18;2022-10-02 08:07:29;2022-10-02 08:07:39;2022-10-02 08:07:47;2022-10-02 08:08:00;2022-10-02 08:08:02;False;0;0;158;68;90;9;24;11;10;8;13;MA;MB;MA;A1;MB;MB;MB;MB;MA;
56332;40;9;1023;4;2022-10-02 08:08:03;2022-10-02 08:08:52;0001-01-01 00:00:00;0001-01-01 00:00:00;2022-10-02 08:09:36;2022-10-02 08:10:05;2022-10-02 08:10:19;2022-10-02 08:10:47;2022-10-02 08:10:55;2022-10-02 08:11:21;2022-10-02 08:11:23;False;0;5;200;107;93;44;29;14;28;8;26;MA;MA;MA;A2;MA;MB;A1;MB;A1;
56332;40;9;1023;5;2022-10-02 08:11:24;2022-10-02 08:12:38;0001-01-01 00:00:00;0001-01-01 00:00:00;2022-10-02 08:12:45;2022-10-02 08:13:39;2022-10-02 08:14:00;2022-10-02 08:14:06;2022-10-02 08:14:14;2022-10-02 08:14:23;2022-10-02 08:14:25;False;0;7;181;100;81;7;54;21;6;8;9;MA;MA;MA;MA;A1;MA;MB;MB;MB;
56332;40;9;1023;6;2022-10-02 08:14:26;2022-10-02 08:14:51;0001-01-01 00:00:00;0001-01-01 00:00:00;2022-10-02 08:14:57;2022-10-02 08:15:11;2022-10-02 08:15:24;2022-10-02 08:15:32;2022-10-02 08:15:38;2022-10-02 08:15:49;2022-10-02 08:15:50;False;0;0;84;53;31;6;14;13;8;6;11;MB;MB;MB;MA;MB;MB;MB;MB;MA;
56332;40;9;1023;7;2022-10-02 08:15:52;2022-10-02 08:16:11;0001-01-01 00:00:00;0001-01-01 00:00:00;2022-10-02 08:16:20;2022-10-02 08:16:59;2022-10-02 08:17:22;2022-10-02 08:17:40;2022-10-02 08:17:52;2022-10-02 08:18:05;2022-10-02 08:18:07;False;0;0;135;107;28;9;39;23;18;12;13;MA;MA;MB;A1;MA;MA;MA;MA;MA;
56332;40;9;1023;8;2022-10-02 08:18:08;2022-10-02 08:22:37;0001-01-01 00:00:00;0001-01-01 00:00:00;2022-10-02 08:22:39;2022-10-02 08:22:54;2022-10-02 08:23:03;2022-10-02 08:23:11;2022-10-02 08:23:18;2022-10-02 08:23:25;2022-10-02 08:23:26;False;0;0;318;47;271;2;15;9;8;7;7;A2;MB;A2;MB;MB;MB;MB;MB;MB;
56332;40;9;1023;9;2022-10-02 08:23:28;2022-10-02 08:23:51;0001-01-01 00:00:00;0001-01-01 00:00:00;2022-10-02 08:23:56;2022-10-02 08:24:10;2022-10-02 08:24:17;2022-10-02 08:24:24;2022-10-02 08:24:28;2022-10-02 08:24:33;2022-10-02 08:24:35;False;0;1;67;39;28;5;14;7;7;4;5;MB;B1;MB;MA;MB;B1;MB;B1;MB;
56332;40;9;1023;10;2022-10-02 08:24:36;2022-10-02 08:25:06;0001-01-01 00:00:00;0001-01-01 00:00:00;2022-10-02 08:25:21;2022-10-02 08:25:38;2022-10-02 08:25:49;2022-10-02 08:25:55;2022-10-02 08:26:01;2022-10-02 08:26:06;2022-10-02 08:26:08;False;0;0;92;47;45;15;17;11;6;6;5;MB;MB;MB;A2;MB;MB;MB;MB;MB;
