Municipio;Zona;Sessao;Local;Voto;InicioAguardando;TituloDigitado;InicioDigital;FimDigital;Habilitacao;Voto1;Voto2;Voto3;Voto4;Voto5;FimVotacao;SucessoDigital;TentativasDigital;TeclasIndevidas;TempoTotal;TempoVotacao;TempoOcioso;TempoHabilitacao;TempoVoto1;TempoVoto2;TempoVoto3;TempoVoto4;TempoVoto5;ClassTempoTotal;ClassTempoVotacao;ClassTempoOcioso;ClassTempoHabilitacao;ClassTempoVoto1;ClassTempoVoto2;ClassTempoVoto3;ClassTempoVoto4;ClassTempoVoto5;
28657;16;62;1139;169;2022-10-02 14:30:28;2022-10-02 14:30:44;2022-10-02 14:30:48;0001-01-01 00:00:00;2022-10-02 14:32:32;2022-10-02 14:32:54;2022-10-02 14:33:10;2022-10-02 14:33:17;2022-10-02 14:33:25;2022-10-02 14:33:31;2022-10-02 14:33:32;False;0;1;184;60;124;108;22;16;7;8;6;A2;MB;A2;A2;MA;MA;MB;MB;MA;
28657;16;62;1139;170;2022-10-02 14:33:34;2022-10-02 14:33:57;2022-10-02 14:34:03;2022-10-02 14:34:20;2022-10-02 14:34:23;2022-10-02 14:34:39;2022-10-02 14:34:47;2022-10-02 14:34:52;2022-10-02 14:34:56;2022-10-02 14:35:01;2022-10-02 14:35:03;True;1;0;89;40;49;26;16;8;5;4;5;B1;B1;B1;MB;MA;B1;B1;B1;MA;
28657;16;62;1139;171;2022-10-02 14:35:05;2022-10-02 14:35:29;2022-10-02 14:35:32;2022-10-02 14:35:45;2022-10-02 14:35:48;2022-10-02 14:36:07;2022-10-02 14:36:16;2022-10-02 14:36:29;2022-10-02 14:36:34;2022-10-02 14:36:42;2022-10-02 14:36:43;True;1;2;98;55;43;19;19;9;13;5;8;B1;MB;B1;B1;MA;MB;MA;MB;MA;
28657;16;62;1139;172;2022-10-02 14:36:45;2022-10-02 14:37:06;2022-10-02 14:37:09;2022-10-02 14:37:53;2022-10-02 14:37:54;2022-10-02 14:38:10;2022-10-02 14:38:18;2022-10-02 14:38:25;2022-10-02 14:38:37;2022-10-02 14:38:45;2022-10-02 14:38:47;True;3;0;122;53;69;48;16;8;7;12;8;MB;MB;MA;A1;MA;B1;MB;MA;MA;
28657;16;62;1139;173;2022-10-02 14:38:49;2022-10-02 14:39:15;2022-10-02 14:39:18;2022-10-02 14:39:56;2022-10-02 14:39:59;2022-10-02 14:40:21;2022-10-02 14:40:31;2022-10-02 14:40:43;2022-10-02 14:40:51;2022-10-02 14:40:57;2022-10-02 14:40:59;True;3;0;130;60;70;44;22;10;12;8;6;MB;MB;MA;MA;MA;MB;MA;MB;MA;
28657;16;62;1139;174;2022-10-02 14:41:00;2022-10-02 14:41:19;2022-10-02 14:41:23;2022-10-02 14:42:04;2022-10-02 14:42:25;2022-10-02 14:42:31;2022-10-02 14:42:39;2022-10-02 14:42:42;2022-10-02 14:42:44;2022-10-02 14:42:50;2022-10-02 14:42:51;False;4;1;111;26;85;66;6;8;3;2;6;MB;B2;A1;A2;MA;B1;B1;B1;MA;
28657;16;62;1139;175;2022-10-02 14:42:53;2022-10-02 14:43:23;2022-10-02 14:43:27;2022-10-02 14:43:57;2022-10-02 14:43:59;2022-10-02 14:44:14;2022-10-02 14:44:22;2022-10-02 14:44:27;2022-10-02 14:44:34;2022-10-02 14:44:39;2022-10-02 14:44:40;True;2;0;107;41;66;36;15;8;5;7;5;MB;B1;MA;MA;MA;B1;B1;MB;MA;
28657;16;62;1139;176;2022-10-02 14:44:42;2022-10-02 14:45:06;2022-10-02 14:45:08;2022-10-02 14:45:19;2022-10-02 14:45:22;2022-10-02 14:45:38;2022-10-02 14:45:54;2022-10-02 14:46:03;2022-10-02 14:46:16;2022-10-02 14:46:20;2022-10-02 14:46:21;True;0;0;99;59;40;16;16;16;9;13;4;B1;MB;B1;B1;MA;MA;MB;MA;MA;
28657;16;62;1139;177;2022-10-02 14:46:23;2022-10-02 14:46:46;2022-10-02 14:46:49;2022-10-02 14:47:17;2022-10-02 14:47:19;2022-10-02 14:47:31;2022-10-02 14:47:39;2022-10-02 14:47:45;2022-10-02 14:47:50;2022-10-02 14:47:55;2022-10-02 14:47:56;True;2;0;93;37;56;33;12;8;6;5;5;B1;B1;MB;MB;MA;B1;MB;MB;MA;
28657;16;62;1139;178;2022-10-02 14:47:58;2022-10-02 14:48:19;2022-10-02 14:48:20;2022-10-02 14:48:27;2022-10-02 14:48:29;2022-10-02 14:48:54;2022-10-02 14:49:06;2022-10-02 14:49:17;2022-10-02 14:49:36;2022-10-02 14:49:45;2022-10-02 14:49:46;True;0;0;108;77;31;10;25;12;11;19;9;MB;MA;B2;B2;MA;MB;MA;A2;MA;
