Municipio;Zona;Sessao;Local;Voto;InicioAguardando;TituloDigitado;InicioDigital;FimDigital;Habilitacao;Voto1;Voto2;Voto3;Voto4;Voto5;FimVotacao;SucessoDigital;TentativasDigital;TeclasIndevidas;TempoTotal;TempoVotacao;TempoOcioso;TempoHabilitacao;TempoVoto1;TempoVoto2;TempoVoto3;TempoVoto4;TempoVoto5;ClassTempoTotal;ClassTempoVotacao;ClassTempoOcioso;ClassTempoHabilitacao;ClassTempoVoto1;ClassTempoVoto2;ClassTempoVoto3;ClassTempoVoto4;ClassTempoVoto5;
28533;15;57;1180;1;2022-10-02 08:00:01;2022-10-02 08:04:54;2022-10-02 08:05:02;2022-10-02 08:05:09;2022-10-02 08:05:15;2022-10-02 08:05:52;2022-10-02 08:06:05;2022-10-02 08:06:17;2022-10-02 08:06:25;2022-10-02 08:06:33;2022-10-02 08:06:34;True;0;0;393;79;314;21;37;13;12;8;8;A2;MA;A2;MB;A1;MB;MB;MB;MB;
28533;15;57;1180;2;2022-10-02 08:06:35;2022-10-02 08:08:03;2022-10-02 08:08:05;2022-10-02 08:08:19;2022-10-02 08:08:22;2022-10-02 08:08:59;2022-10-02 08:09:11;2022-10-02 08:09:19;2022-10-02 08:09:27;2022-10-02 08:09:35;2022-10-02 08:09:35;True;0;0;180;73;107;19;37;12;8;8;8;MA;MB;MA;MB;A1;MB;MB;MB;MB;
28533;15;57;1180;3;2022-10-02 08:09:36;2022-10-02 08:11:20;2022-10-02 08:11:21;2022-10-02 08:11:30;2022-10-02 08:11:34;2022-10-02 08:12:37;2022-10-02 08:12:57;2022-10-02 08:14:14;2022-10-02 08:14:25;2022-10-02 08:14:30;2022-10-02 08:14:31;True;0;4;295;177;118;14;63;20;77;11;5;A1;A2;MA;MB;A2;MB;A2;MA;MB;
28533;15;57;1180;4;2022-10-02 08:14:32;2022-10-02 08:16:06;2022-10-02 08:16:16;2022-10-02 08:16:28;2022-10-02 08:16:31;2022-10-02 08:16:59;2022-10-02 08:17:18;2022-10-02 08:17:43;2022-10-02 08:17:56;2022-10-02 08:18:08;2022-10-02 08:18:08;True;0;1;216;97;119;25;28;19;25;13;12;MA;MA;MA;MA;MA;MB;A1;MA;MA;
28533;15;57;1180;5;2022-10-02 08:18:09;2022-10-02 08:20:24;2022-10-02 08:20:27;2022-10-02 08:20:40;2022-10-02 08:20:46;2022-10-02 08:21:29;2022-10-02 08:21:50;2022-10-02 08:22:07;2022-10-02 08:22:36;2022-10-02 08:23:06;2022-10-02 08:23:07;True;0;1;298;141;157;22;43;21;17;29;30;A1;A1;A1;MB;A1;MB;MA;A2;A2;
28533;15;57;1180;6;2022-10-02 08:23:08;2022-10-02 08:26:00;2022-10-02 08:26:03;2022-10-02 08:27:37;2022-10-02 08:28:16;2022-10-02 08:28:43;2022-10-02 08:41:02;2022-10-02 08:41:13;2022-10-02 08:41:21;2022-10-02 08:41:28;2022-10-02 08:41:28;False;4;23;1100;792;308;136;27;739;11;8;7;A2;A2;A2;A2;MA;A2;MB;MB;MB;
28533;15;57;1180;7;2022-10-02 08:41:29;2022-10-02 08:42:09;2022-10-02 08:42:18;2022-10-02 08:42:25;2022-10-02 08:42:31;2022-10-02 08:43:18;2022-10-02 08:43:45;2022-10-02 08:44:08;2022-10-02 08:44:29;2022-10-02 08:44:48;2022-10-02 08:44:49;True;0;3;200;138;62;22;47;27;23;21;19;MA;A1;MB;MB;A2;MA;A1;A2;A1;
28533;15;57;1180;8;2022-10-02 08:44:50;2022-10-02 08:45:55;2022-10-02 08:45:58;2022-10-02 08:46:09;2022-10-02 08:46:12;2022-10-02 08:46:39;2022-10-02 08:47:02;2022-10-02 08:47:16;2022-10-02 08:47:25;2022-10-02 08:47:31;2022-10-02 08:47:32;True;0;0;162;80;82;17;27;23;14;9;6;MB;MA;MB;MB;MA;MA;MA;MB;MB;
28533;15;57;1180;9;2022-10-02 08:47:33;2022-10-02 08:49:00;2022-10-02 08:49:02;2022-10-02 08:49:11;2022-10-02 08:49:15;2022-10-02 08:50:08;2022-10-02 08:50:26;2022-10-02 08:50:45;2022-10-02 08:50:58;2022-10-02 08:51:31;2022-10-02 08:51:32;True;0;7;239;137;102;15;53;18;19;13;33;MA;A1;MA;MB;A2;MB;MA;MA;A2;
28533;15;57;1180;10;2022-10-02 08:51:33;2022-10-02 08:51:59;2022-10-02 08:52:03;2022-10-02 08:52:13;2022-10-02 08:52:17;2022-10-02 08:52:37;2022-10-02 08:52:49;2022-10-02 08:53:02;2022-10-02 08:53:09;2022-10-02 08:53:14;2022-10-02 08:53:15;True;0;4;102;58;44;18;20;12;13;7;5;MB;MB;MB;MB;MB;MB;MB;MB;MB;
